Name,Image URL,Set,Card Number,Price,Site,Release Date
Galarian Slowpoke (Reverse Holo),,Chilling Reign,54,,English,2021-06-18
Galarian Slowpoke,https://den-cards.pokellector.com/305/Galarian-Slowpoke.SWSH05.54.37578.thumb.png,Battle Styles,54,"$0.01
 $0.25
 $1.94",English,2021-03-19
Galarian Slowpoke (Reverse Holo),,Battle Styles,54,,English,2021-03-19
Galarian Slowpoke,https://den-cards.pokellector.com/287/Galarian-Slowpoke.SWSH.126.39202.thumb.png,Sword & Shield Promos,126,"$0.30
 $2.61
 $0.30",English,2019-11-15
Slowpoke,https://den-cards.pokellector.com/334/Slowpoke.MCD9FR.14.40135.thumb.png,McDonald's Collection (2019 FR),14,,English,2019-10-30
Slowpoke (Reverse Holo),https://den-cards.pokellector.com/334/Slowpoke.MCD9FR.14.40174.thumb.png,McDonald's Collection (2019 FR),14,,English,2019-10-30
Slowpoke,,Hidden Fates,12,"$0.01
 $0.35
 $1.28",English,2019-08-23
Slowpoke (Reverse Holo),,Hidden Fates,12,,English,2019-08-23
Slowpoke & Psyduck GX,,Unified Minds,35,"$34.20
 $23.69
 $35.00
 $3.50
 $16.99",English,2019-08-02
Slowpoke & Psyduck GX,,Unified Minds,217,"$42.05
 $23.69
 $63.00
 $4.49
 $39.99",English,2019-08-02
Slowpoke & Psyduck GX,,Unified Minds,218,"$159.98
 $23.69
 $149.99
 $6.00
 $199.99",English,2019-08-02
Slowpoke & Psyduck GX,,Unified Minds,239,"$139.99
 $23.69
 $98.00
 $9.00
 $129.99",English,2019-08-02
Slowpoke,,Unbroken Bonds,42,"$0.03
 $0.25
 $1.28
 $0.02
 $0.35",English,2019-05-03
Slowpoke (Reverse Holo),,Unbroken Bonds,42,,English,2019-05-03
Slowpoke,,Lost Thunder,54,"$0.05
 $0.35
 $1.29
 $0.02
 $0.35",English,2018-11-02
Slowpoke (Reverse Holo),,Lost Thunder,54,,English,2018-11-02
Slowpoke,,McDonald's Collection (2018),5,"$6.00
 $0.50",English,2018-10-19
Slowpoke,,Guardians Rising,48,"$0.04
 $0.25
 $0.99
 $0.01
 $0.19
 $0.20",English,2017-05-05
Slowpoke (Reverse Holo),,Guardians Rising,48,,English,2017-05-05
Slowpoke,,Generations,32,"$0.05
 $0.49
 $1.50
 $0.35
 $0.44
 $0.11",English,2016-02-22
Slowpoke (Reverse Holo),,Generations,32,,English,2016-02-22
Slowpoke (Toys R Us Promo),,Generations,32,,English,2016-02-22
Slowpoke (GAME Promo),,Generations,32,,English,2016-02-22
Slowpoke,,BREAKPoint,19,"$0.02
 $1.07
 $0.19
 $0.35
 $0.25",English,2016-02-03
Slowpoke (Reverse Holo),,BREAKPoint,19,,English,2016-02-03
Slowpoke,,Dark Explorers,23,"$0.22
 $0.59
 $1.59
 $0.35
 $0.25
 $0.19",English,2012-05-09
Slowpoke (Reverse Holo),,Dark Explorers,23,,English,2012-05-09
Slowpoke,,Call of Legends,70,"$0.15
 $0.59
 $3.34
 $0.25
 $0.39",English,2011-02-09
Slowpoke (Reverse Holo),,Call of Legends,70,,English,2011-02-09
Slowpoke,,HS Undaunted,66,"$0.99
 $2.19
 $3.05
 $0.25
 $0.22",English,2010-08-18
Slowpoke (Reverse Holo),,HS Undaunted,66,,English,2010-08-18
Slowpoke,,HeartGold SoulSilver,81,"$0.08
 $0.79
 $4.00
 $0.25
 $0.18",English,2010-02-10
Slowpoke (Reverse Holo),,HeartGold SoulSilver,81,,English,2010-02-10
Slowpoke,,Great Encounters,82,"$0.33
 $1.69
 $2.13
 $0.25
 $0.33",English,2008-02-01
Slowpoke (Reverse Holo),,Great Encounters,82,,English,2008-02-01
Slowpoke,,EX Delta Species,83,"$0.40
 $1.19
 $8.00
 $0.25
 $0.49",English,2005-10-31
Slowpoke (Reverse Holo),,EX Delta Species,83,,English,2005-10-31
Slowpoke,,EX Unseen Forces,72,"$0.45
 $0.49
 $1.69
 $0.25
 $0.39",English,2005-08-22
Slowpoke (Reverse Holo),,EX Unseen Forces,72,,English,2005-08-22
Slowpoke,,EX Team Rocket Returns,76,"$0.48
 $0.69
 $12.99
 $0.25
 $0.39",English,2004-11-01
Slowpoke (Reverse Holo),,EX Team Rocket Returns,76,,English,2004-11-01
Slowpoke,,EX FireRed & LeafGreen,80,"$1.09
 $0.79
 $3.02
 $0.25
 $1.20",English,2004-08-30
Slowpoke (Reverse Holo),,EX FireRed & LeafGreen,80,,English,2004-08-30
Slowpoke,,EX Team Magma vs Team Aqua,45,"$1.39
 $0.99
 $5.59
 $1.19
 $0.25",English,2004-03-01
Slowpoke (Reverse Holo),,EX Team Magma vs Team Aqua,45,,English,2004-03-01
Slowpoke,,Aquapolis,108,"$4.50
 $4.99
 $6.37
 $0.49
 $3.99",English,2003-01-15
Slowpoke (Reverse Holo),,Aquapolis,108,,English,2003-01-15
Slowpoke,,Legendary Collection,93,"$0.40
 $0.79
 $11.48
 $0.49
 $0.75",English,2002-05-24
Slowpoke (Reverse Holo),,Legendary Collection,93,,English,2002-05-24
Slowpoke,,Neo Genesis,73,"$0.78
 $1.09
 $10.49
 $0.25
 $1.50",English,2000-12-16
Slowpoke (First Edition),,Neo Genesis,73,,English,2000-12-16
Sabrina's Slowpoke,,Gym Heroes,95,"$0.77
 $0.79
 $11.99
 $0.25
 $1.49",English,2000-08-14
Sabrina's Slowpoke (First Edition),,Gym Heroes,95,,English,2000-08-14
Slowpoke,,Topps Series 2,79,,English,2000-06-01
Slowpoke (Spectra Holo),,Topps Series 2,79,,English,2000-06-01
Slowpoke (Sparkle Holo),,Topps Series 2,79,,English,2000-06-01
Slowpoke (Tekno Holo),,Topps Series 2,79,,English,2000-06-01
Slowpoke,,Team Rocket,67,"$0.17
 $0.49
 $8.38
 $0.25
 $1.99",English,2000-04-24
Slowpoke (First Edition),,Team Rocket,67,,English,2000-04-24
Slowpoke,,Fossil,55,"$0.05
 $0.39
 $3.49
 $0.25
 $1.49",English,1999-10-10
Slowpoke (First Edition),,Fossil,55,,English,1999-10-10
Slowpoke,https://den-cards.pokellector.com/401/Slowpoke.SV7.38.53685.thumb.png,Stella Miracle,38,$0.19,Japanese,2024-07-19
Slowpoke,https://den-cards.pokellector.com/375/Slowpoke.SV4A.36.50997.thumb.png,Shiny Treasure ex,36,"$0.07
 $0.29",Japanese,2023-12-01
Slowpoke,https://den-cards.pokellector.com/375/Slowpoke.SV4A.219.51153.thumb.png,Shiny Treasure ex,219,"$1.74
 $2.67",Japanese,2023-12-01
Slowpoke (Reverse Holo),https://den-cards.pokellector.com/375/Slowpoke.SV4A.36.51320.thumb.png,Shiny Treasure ex,36,,Japanese,2023-12-01
Slowpoke,https://den-cards.pokellector.com/371/Slowpoke.SV2A.79.48291.thumb.png,Pokemon 151,79,"$0.03
 $0.29",Japanese,2023-06-16
Slowpoke (Reverse Holo),https://den-cards.pokellector.com/371/Slowpoke.SV2A.79.48474.thumb.png,Pokemon 151,79,,Japanese,2023-06-16
Slowpoke (Master Ball Holo),,Pokemon 151,79,,Japanese,2023-06-16
Slowpoke,https://den-cards.pokellector.com/369/Slowpoke.SV2P.29.47574.thumb.png,Snow Hazard,29,$0.19,Japanese,2023-04-14
Slowpoke,https://den-cards.pokellector.com/362/Slowpoke.SV1V.19.46179.thumb.png,Violet ex,19,$0.48,Japanese,2023-01-20
Slowpoke,https://den-cards.pokellector.com/362/Slowpoke.SV1V.82.46180.thumb.png,Violet ex,82,$10.27,Japanese,2023-01-20
Slowpoke,https://den-cards.pokellector.com/347/Slowpoke.S10B.19.44121.thumb.png,Pokemon GO,19,"$0.01
 $0.19",Japanese,2022-06-17
Galarian Slowpoke,https://den-cards.pokellector.com/337/Galarian-Slowpoke.SI.164.42151.thumb.png,Start Deck 100,164,"$0.20
 $0.29",Japanese,2021-12-17
Galarian Slowpoke (Reverse Holo),https://den-cards.pokellector.com/337/Galarian-Slowpoke.SI.164.42428.thumb.png,Start Deck 100,164,,Japanese,2021-12-17
Galarian Slowpoke,https://den-cards.pokellector.com/309/Galarian-Slowpoke.S6H.30.38701.thumb.png,Silver Lance,30,"$0.02
 $0.18
 $0.48
 $0.10",Japanese,2021-04-23
Galarian Slowpoke,https://den-cards.pokellector.com/306/Galarian-Slowpoke.S5I.21.36780.thumb.png,Single Strike Master,21,$0.15,Japanese,2021-01-22
Galarian Slowpoke,https://den-cards.pokellector.com/289/Galarian-Slowpoke.SP.172.37220.thumb.png,Sword & Shield Promos,172,,Japanese,2019-11-15
Slowpoke & Psyduck GX,https://den-cards.pokellector.com/277/Slowpoke-Psyduck-GX.SM11.11.28745.thumb.png,Miracle Twins,11,"$1.43
 $2.38",Japanese,2019-05-31
Slowpoke & Psyduck GX,https://den-cards.pokellector.com/277/Slowpoke-Psyduck-GX.SM11.96.28888.thumb.png,Miracle Twins,96,"$47.62
 $5.67",Japanese,2019-05-31
Slowpoke & Psyduck GX,https://den-cards.pokellector.com/277/Slowpoke-Psyduck-GX.SM11.107.28890.thumb.png,Miracle Twins,107,"$9.05
 $11.24",Japanese,2019-05-31
Slowpoke & Psyduck GX,https://den-cards.pokellector.com/277/Slowpoke-Psyduck-GX.SM11.95.28898.thumb.png,Miracle Twins,95,"$14.67
 $0.95
 $4.67",Japanese,2019-05-31
Slowpoke,https://den-cards.pokellector.com/263/Slowpoke.SM9B.11.26427.thumb.png,Full Metal Wall,11,$0.86,Japanese,2019-02-01
Slowpoke,,Explosive Impact,24,"$1.33
 $0.48
 $0.29",Japanese,2018-09-07
Slowpoke,,Strengthening Expansion Pack: Beyond A New Challenge,22,"$0.67
 $0.48
 $0.27",Japanese,2017-04-21
Slowpoke,,Islands Awaiting You,23,"$0.38
 $0.76
 $0.19",Japanese,2017-03-17
Slowpoke,,Sun & Moon Promos,253,"$3.99
 $1,714.29",Japanese,2016-11-18
Slowpoke,,Pokemon Card Game Starter Pack,23,$12.76,Japanese,2016-02-27
Slowpoke,,Rage of the Broken Sky,13,"$4.42
 $0.95
 $0.19",Japanese,2015-12-11
Slowpoke,,Dark Rush,16,"$28.00
 $0.48
 $0.33",Japanese,2011-12-16
Slowpoke,,HeartGold Collection,17,,Japanese,2009-10-09
Slowpoke,,"Gold, Silver, to a New World...",45,,Japanese,2000-02-04
Sabrina's Slowpoke,,Challenge from the Darkness,44,,Japanese,1999-06-25
Slowpoke,,Rocket Gang,32,,Japanese,1997-11-21
Slowpoke,,Mystery of the Fossils,27,,Japanese,1997-06-21
