Name,Image URL,Set,Card Number,Price,Site,Release Date
Slowking,,Aquapolis,34,"$8.36
 $9.39
 $28.00
 $18.99
 $0.99",English,2003-01-15
Slowking (Reverse Holo),,Aquapolis,34,,English,2003-01-15
Dark Slowking,,Neo Destiny,20,"$11.30
 $19.99
 $9.90
 $15.99
 $0.99",English,2002-02-28
Dark Slowking (First Edition),,Neo Destiny,20,,English,2002-02-28
Slowking,,Southern Islands,14,"$42.79
 $9.99
 $69.99",English,2001-07-31
Slowking,,Neo Genesis,14,"$34.01
 $34.89
 $33.00
 $29.99
 $4.99",English,2000-12-16
Slowking (First Edition),,Neo Genesis,14,,English,2000-12-16
Galarian Slowking V,https://den-cards.pokellector.com/308/Galarian-Slowking-V.S5A.80.37927.thumb.png,Matchless Fighter,80,"$52.19
 $22.67
 $20.95",Japanese,2021-03-19
Will's Slowking,https://den-cards.pokellector.com/276/Wills-Slowking.VS.77.27774.thumb.png,Pokemon VS,77,,Japanese,2001-08-19
Will's Slowking (First Edition),,Pokemon VS,77,,Japanese,2001-08-19
Slowking,https://den-cards.pokellector.com/401/Slowking.SV7.39.53684.thumb.png,Stella Miracle,39,$3.43,Japanese,2024-07-19
Slowking ex,https://den-cards.pokellector.com/369/Slowking-ex.SV2P.30.47544.thumb.png,Snow Hazard,30,"$8.90
 $1.14",Japanese,2023-04-14
Slowking ex,https://den-cards.pokellector.com/369/Slowking-ex.SV2P.86.47605.thumb.png,Snow Hazard,86,$6.19,Japanese,2023-04-14
Galarian Slowking,https://den-cards.pokellector.com/337/Galarian-Slowking.SI.257.42242.thumb.png,Start Deck 100,257,"$3.93
 $0.86",Japanese,2021-12-17
Galarian Slowking V,https://den-cards.pokellector.com/337/Galarian-Slowking-V.SI.258.42243.thumb.png,Start Deck 100,258,"$0.90
 $1.90",Japanese,2021-12-17
Galarian Slowking VMAX,https://den-cards.pokellector.com/337/Galarian-Slowking-VMAX.SI.259.42244.thumb.png,Start Deck 100,259,"$2.90
 $1.81",Japanese,2021-12-17
Galarian Slowking,https://den-cards.pokellector.com/309/Galarian-Slowking.S6H.45.38665.thumb.png,Silver Lance,45,"$0.02
 $0.38
 $0.67
 $0.10",Japanese,2021-04-23
Galarian Slowking VMAX,https://den-cards.pokellector.com/308/Galarian-Slowking-VMAX.S5A.47.37223.thumb.png,Matchless Fighter,47,"$1.90
 $0.76
 $0.95",Japanese,2021-03-19
Galarian Slowking V,https://den-cards.pokellector.com/308/Galarian-Slowking-V.S5A.46.37224.thumb.png,Matchless Fighter,46,"$1.90
 $0.76
 $1.14",Japanese,2021-03-19
Galarian Slowking V,https://den-cards.pokellector.com/308/Galarian-Slowking-V.S5A.79.37926.thumb.png,Matchless Fighter,79,"$7.90
 $4.57",Japanese,2021-03-19
Galarian Slowking VMAX,https://den-cards.pokellector.com/308/Galarian-Slowking-VMAX.S5A.88.37935.thumb.png,Matchless Fighter,88,"$15.24
 $5.52",Japanese,2021-03-19
Slowking,https://den-cards.pokellector.com/258/Slowking.SM8.25.23250.thumb.png,Explosive Impact,25,"$0.62
 $0.48
 $0.29",Japanese,2018-09-07
Slowking,https://den-cards.pokellector.com/212/Slowking.SM2+.23.17485.thumb.png,Strengthening Expansion Pack: Beyond A New Challenge,23,"$0.95
 $0.48
 $231.43",Japanese,2017-04-21
Slowking,https://den-cards.pokellector.com/177/Slowking.XY9.15.thumb.png,Rage of the Broken Sky,15,"$4.25
 $0.48
 $0.29",Japanese,2015-12-11
Slowking,https://den-cards.pokellector.com/20/Slowking.BW4.34.thumb.png,Dark Rush,34,"$14.50
 $1.05
 $0.54",Japanese,2011-12-16
Slowking,https://den-cards.pokellector.com/247/Slowking.L1.39.21767.thumb.png,HeartGold Collection,39,,Japanese,2009-10-09
Dark Slowking,https://den-cards.pokellector.com/333/Dark-Slowking.NEO4.61.39767.thumb.png,Darkness and to Light,61,,Japanese,2001-04-20
Slowking,https://den-cards.pokellector.com/324/Slowking.NEO1.49.38568.thumb.png,"Gold, Silver, to a New World...",49,,Japanese,2000-02-04
