URL,Category,Series,SetName,Description,Card Count,Secret Card Count,Release Date
https://jp.pokellector.com/Shiny-Treasures-ex-Expansion/,Japanese Sets,Scarlet & Violet Series,Shiny Treasure ex,N/A,190,170,Dec 1st 2023
https://jp.pokellector.com/Future-Flash-Expansion/,Japanese Sets,Scarlet & Violet Series,Future Flash,N/A,66,29,Oct 27th 2023
https://jp.pokellector.com/Ancient-Roar-Expansion/,Japanese Sets,Scarlet & Violet Series,Ancient Roar,N/A,66,29,Oct 27th 2023
https://jp.pokellector.com/Ragins-Surf-Expansion/,Japanese Sets,Scarlet & Violet Series,Raging Surf,N/A,62,30,Sep 22nd 2023
https://jp.pokellector.com/Ruler-of-the-Black-Flame-Expansion/,Japanese Sets,Scarlet & Violet Series,Ruler of the Black Flame,The debut of Dark-type Charizard ex!,108,33,Jul 28th 2023
https://jp.pokellector.com/Pokemon-151-Expansion/,Japanese Sets,Scarlet & Violet Series,Pokemon 151,A set featuring the first 151 Pokemon in Pokedex order!,165,45,Jun 16th 2023
https://jp.pokellector.com/Snow-Hazard-Expansion/,Japanese Sets,Scarlet & Violet Series,Snow Hazard,N/A,71,28,Apr 14th 2023
https://jp.pokellector.com/Clay-Burst-Expansion/,Japanese Sets,Scarlet & Violet Series,Clay Burst,N/A,71,28,Apr 14th 2023
https://jp.pokellector.com/Triple-Beat-Expansion/,Japanese Sets,Scarlet & Violet Series,Triplet Beat,The second Scarlet & Violet expansion,73,30,Mar 10th 2023
https://jp.pokellector.com/Violet-ex-Expansion/,Japanese Sets,Scarlet & Violet Series,Violet ex,The Violet half of the first Japanese Scarlet & Violet TCG set,78,30,Jan 20th 2023
https://jp.pokellector.com/Scarlet-ex-Expansion/,Japanese Sets,Scarlet & Violet Series,Scarlet ex,The Scarlet half of the first Japanese Scarlet & Violet TCG set,78,30,Jan 20th 2023
https://jp.pokellector.com/Scarlet-Violet-Japanese-Promos-Expansion/,Japanese Sets,Scarlet & Violet Series,Scarlet & Violet Promos,Promotional cards from the Scarlet & Violet era,258,1,Dec 9th 2022
https://jp.pokellector.com/VSTAR-Universe-Expansion/,Japanese Sets,Sword & Shield Series,VSTAR Universe,The final set of the Sword & Shield era goes out with a bang with tons of reprints and loads of special cards!,172,90,Dec 2nd 2022
https://jp.pokellector.com/Paradigm-Trigger-Expansion/,Japanese Sets,Sword & Shield Series,Paradigm Trigger,This set is the first to debut VSTAR Power Trainer cards,98,27,Oct 21st 2022
https://jp.pokellector.com/Incandescent-Arcana-Expansion/,Japanese Sets,Sword & Shield Series,Incandescent Arcana,N/A,68,26,Sep 2nd 2022
https://jp.pokellector.com/Lost-Abyss-Expansion/,Japanese Sets,Sword & Shield Series,Lost Abyss,The return of the Lost Zone to the Pokemon TCG!,100,27,Jul 15th 2022
https://jp.pokellector.com/Japanese-Pokemon-GO-Expansion/,Japanese Sets,Sword & Shield Series,Pokemon GO,The first Pokemon TCG set to be inspired by Pokemon GO!,71,22,Jun 17th 2022
https://jp.pokellector.com/Dark-Phantasma-Expansion/,Japanese Sets,Sword & Shield Series,Dark Phantasma,N/A,71,28,May 13th 2022
https://jp.pokellector.com/Time-Gazer-Expansion/,Japanese Sets,Sword & Shield Series,Time Gazer,The Dialga half of the S10 set which introduces Hisuian Pokemon to the TCG,67,21,Apr 8th 2022
https://jp.pokellector.com/Space-Juggler-Expansion/,Japanese Sets,Sword & Shield Series,Space Juggler,The Palkia half of the S10 set which introduces Hisuian Pokemon to the TCG,67,21,Apr 8th 2022
https://jp.pokellector.com/Battle-Region-Expansion/,Japanese Sets,Sword & Shield Series,Battle Region,This set introduced Sparkling (shiny) Pokemon that are limiited to 1 per deck! The set also introduced V & VSTAR versions of the Hisuian starters and featured a cool Pokeball Reverse Holo pattern for some cards!,67,26,Feb 25th 2022
https://jp.pokellector.com/Star-Birth-Expansion/,Japanese Sets,Sword & Shield Series,Star Birth,"This set, featuring Arceus, introduced VSTAR Pokemon to the TCG!",100,27,Jan 14th 2022
https://jp.pokellector.com/Start-Deck-100-Expansion/,Japanese Sets,Sword & Shield Series,Start Deck 100,"This ""set"" full of reprints contains 414 unique cards and is distributed via 100 different 60-card decks!",414,8,Dec 17th 2021
https://jp.pokellector.com/VMAX-Climax-Expansion/,Japanese Sets,Sword & Shield Series,VMAX Climax,N/A,184,100,Dec 3rd 2021
https://jp.pokellector.com/25th-Anniversary-Promo-Pack-Expansion/,Japanese Sets,Sword & Shield Series,25th Anniversary Promo Pack,Promo cards found randomly inserted into promo packs given to those who purchase 4 packs of the 25th Anniversary Collection,25,N/A,Oct 22nd 2021
https://jp.pokellector.com/25th-Anniversary-Collection-Expansion/,Japanese Sets,Sword & Shield Series,25th Anniversary Collection,A special collection of cards to celebrate the 25th anniversary,28,2,Oct 22nd 2021
https://jp.pokellector.com/Fusion-ARTS-Expansion/,Japanese Sets,Sword & Shield Series,Fusion ARTS,This set introduces new FUSION cards!,100,29,Sep 24th 2021
https://jp.pokellector.com/Blue-Sky-Stream-Expansion/,Japanese Sets,Sword & Shield Series,Blue Sky Stream,A set featuring Sky-High Rayquaza,67,23,Jul 9th 2021
https://jp.pokellector.com/Towering-Perfection-Expansion/,Japanese Sets,Sword & Shield Series,Towering Perfection,A set featuring the towering Daruladon,67,23,Jul 9th 2021
https://jp.pokellector.com/Eevee-Heroes-Expansion/,Japanese Sets,Sword & Shield Series,Eevee Heroes,This small set is focused on eevee and its evolutions,69,32,May 28th 2021
https://jp.pokellector.com/Jet-Black-Spirit-Expansion/,Japanese Sets,Sword & Shield Series,Jet Black Spirit,"Based on the Crown Tundra DLC, this half of the set features Shadow Rider Calyrex",70,1,Apr 23rd 2021
https://jp.pokellector.com/Silver-Lance-Expansion/,Japanese Sets,Sword & Shield Series,Silver Lance,"Based on the Crown Tundra DLC, this half of the set features Ice Rider Calyrex",70,1,Apr 23rd 2021
https://jp.pokellector.com/Matchless-Fighter-Expansion/,Japanese Sets,Sword & Shield Series,Matchless Fighter,N/A,70,25,Mar 19th 2021
https://jp.pokellector.com/Rapid-Strike-Master-Expansion/,Japanese Sets,Sword & Shield Series,Rapid Strike Master,The first set to introduce Rapid Strike cards,70,21,Jan 22nd 2021
https://jp.pokellector.com/Single-Strike-Master-Expansion/,Japanese Sets,Sword & Shield Series,Single Strike Master,The first set to introduce Single Strike type cards,70,21,Jan 22nd 2021
https://jp.pokellector.com/Shiny-Star-V-Expansion/,Japanese Sets,Sword & Shield Series,Shiny Star V,"A massive set featuring reprints of top cards, some new artwork and many shiny pokemon. Each pack is guaranteed to yield a V or VMAX card",190,9,Nov 20th 2020
https://jp.pokellector.com/Electrifying-Tackle-Expansion/,Japanese Sets,Sword & Shield Series,Electrifying Tackle,"Set heavily focused on electric pokemon, including Pikachu VMAX",100,21,Sep 18th 2020
https://jp.pokellector.com/Legendary-Pulse-Expansion/,Japanese Sets,Sword & Shield Series,Legendary Pulse,"This set was the first to include new ""Amazing Rare"" cards which, like Dragon types of the past, included attacks that required multiple types of energy.",76,18,Jul 10th 2020
https://jp.pokellector.com/Infinity-Zone-Expansion/,Japanese Sets,Sword & Shield Series,Infinity Zone,"Originally titled ""World Down"" (ワールドダウン), but likely renamed due to the Coronavirus Pandemic",100,19,Jun 5th 2020
https://jp.pokellector.com/Explosive-Flame-Walker-Expansion/,Japanese Sets,Sword & Shield Series,Explosive Flame Walker,N/A,70,16,Apr 24th 2020
https://jp.pokellector.com/Rebellion-Crash-Expansion/,Japanese Sets,Sword & Shield Series,Rebellion Crash,The second full Sword & Shield Japanese Set,96,19,Mar 6th 2020
https://jp.pokellector.com/VMAX-Rising-Expansion/,Japanese Sets,Sword & Shield Series,VMAX Rising,Sword & Shield's first mini expansion pack,70,16,Feb 7th 2020
https://jp.pokellector.com/Sword-Expansion/,Japanese Sets,Sword & Shield Series,Sword,Half of the first set in the new Sword & Shield block!,60,15,Dec 6th 2019
https://jp.pokellector.com/Shield-Expansion/,Japanese Sets,Sword & Shield Series,Shield,Half of the first set in the new Sword & Shield block!,60,15,Dec 6th 2019
https://jp.pokellector.com/Japanese-Sword-Shield-Promos-Expansion/,Japanese Sets,Sword & Shield Series,Sword & Shield Promos,Promo cards released during the Sword & Shield era,350,N/A,Nov 17th 2019
https://jp.pokellector.com/Eevee-Heroes-VMAX-Special-Set-Expansion/,Japanese Sets,Sword & Shield Series,Eevee Heroes VMAX Special Set,This mini set was available in a special set with Eevee Heroes booster packs and via lottery from Japan's Pokemon Center online store,8,N/A,Jun 15th 2021
https://jp.pokellector.com/Silver-Lance-Jet-Black-Spirit-Promo-Set-Expansion/,Japanese Sets,Sword & Shield Series,Silver Lance & Jet-Black Spirit Promo Set,This mini set of promos can be found in the Silver Lance & Jet Black Geist Jumbo Packs. The packs include 2 booster packs of each set and a random mix of promos,6,N/A,Apr 23rd 2021
https://jp.pokellector.com/VMAX-Special-Set-Expansion/,Japanese Sets,Sword & Shield Series,VMAX Special Set,A mini box set that includes booster packs of previous sets and a random card from the 4 in this set and 3 accompanying holographic energy cards,4,N/A,Oct 23rd 2020
https://jp.pokellector.com/Tag-Team-GX-All-Stars-Expansion/,Japanese Sets,Sun & Moon Series,Tag Team GX All Stars,N/A,173,53,Oct 4th 2019
https://jp.pokellector.com/Alter-Genesis-Expansion/,Japanese Sets,Sun & Moon Series,Alter Genesis,Our last full Sun & Moon set,95,22,Sep 6th 2019
https://jp.pokellector.com/Dream-League-Expansion/,Japanese Sets,Sun & Moon Series,Dream League,The first set to feature Secret Rare CHR cards which feature the pokemon and a trainer on a Full Art card,49,26,Aug 2nd 2019
https://jp.pokellector.com/Remix-Bout-Expansion/,Japanese Sets,Sun & Moon Series,Remix Bout,N/A,64,1,Jul 5th 2019
https://jp.pokellector.com/Miracle-Twins-Expansion/,Japanese Sets,Sun & Moon Series,Miracle Twins,We finally get Tag Team Mewtwo & Mew!,94,21,May 31st 2019
https://jp.pokellector.com/Sky-Legend-Expansion/,Japanese Sets,Sun & Moon Series,Sky Legend,"The first set to include a 3 pokemon Tag Team GX card remixing the classic Articuno, Zapdos & Moltres Jumbo",54,16,Apr 26th 2019
https://jp.pokellector.com/Japanese-Detective-Pikachu-Expansion/,Japanese Sets,Sun & Moon Series,Detective Pikachu,Special packs of 4 holo cards to commemorate the Detective Pikachu movie,24,N/A,Apr 26th 2019
https://jp.pokellector.com/GG-End-Expansion/,Japanese Sets,Sun & Moon Series,GG End,N/A,54,14,Apr 5th 2019
https://jp.pokellector.com/Double-Blaze-Expansion/,Japanese Sets,Sun & Moon Series,Double Blaze,N/A,95,21,Mar 1st 2019
https://jp.pokellector.com/Full-Metal-Wall-Expansion/,Japanese Sets,Sun & Moon Series,Full Metal Wall,N/A,54,15,Feb 1st 2019
https://jp.pokellector.com/Night-Unison-Expansion/,Japanese Sets,Sun & Moon Series,Night Unison,"The second set to include Tag Team GX cards, though only 2 were Tag Team while the other 2 were normal GX cards.",55,15,Jan 11th 2019
https://jp.pokellector.com/Tag-Bolt-Expansion/,Japanese Sets,Sun & Moon Series,Tag Bolt,The first set to feature Tag Team GX Pokemon,95,23,Dec 7th 2018
https://jp.pokellector.com/Ultra-Shiny-GX-Expansion/,Japanese Sets,Sun & Moon Series,Ultra Shiny GX,"A massive set featuring lots of GX pokemon. Each pack comes with 10 cards, 4 of which will be holo and 1 of the 4 is guaranteed to be a GX",150,100,Nov 2nd 2018
https://jp.pokellector.com/Dark-Order-Expansion/,Japanese Sets,Sun & Moon Series,Dark Order,N/A,52,13,Oct 5th 2018
https://jp.pokellector.com/Explosive-Impact-Expansion/,Japanese Sets,Sun & Moon Series,Explosive Impact,N/A,95,16,Sep 7th 2018
https://jp.pokellector.com/Fairy-Rise-Expansion/,Japanese Sets,Sun & Moon Series,Fairy Rise,"The second SM7 subset focusing on Fairy, Grass and Psychic Pokemon",50,13,Aug 3rd 2018
https://jp.pokellector.com/Thunderclap-Spark-Expansion/,Japanese Sets,Sun & Moon Series,Thunderclap Spark,The first set to feature the new Pokemon Zeraora,60,13,Jul 6th 2018
https://jp.pokellector.com/Charisma-of-the-Cracked-Sky-Expansion/,Japanese Sets,Sun & Moon Series,Charisma of the Cracked Sky,N/A,96,16,Jun 1st 2018
https://jp.pokellector.com/Japanese-Forbidden-Light-Expansion/,Japanese Sets,Sun & Moon Series,Forbidden Light,N/A,94,16,Mar 2nd 2018
https://jp.pokellector.com/Ultra-Force-Expansion/,Japanese Sets,Sun & Moon Series,Ultra Force,SM5's expansion set,50,12,Jan 19th 2018
https://jp.pokellector.com/Ultra-Sun-Expansion/,Japanese Sets,Sun & Moon Series,Ultra Sun,Ultra Sun & Ultra Moon were the first sets to feature Prism Star cards,66,12,Dec 8th 2017
https://jp.pokellector.com/Ultra-Moon-Expansion/,Japanese Sets,Sun & Moon Series,Ultra Moon,Ultra Sun & Ultra Moon were the first sets to feature Prism Star cards,66,11,Dec 8th 2017
https://jp.pokellector.com/GX-Battle-Boost-Expansion/,Japanese Sets,Sun & Moon Series,GX Battle Boost,N/A,114,11,Oct 20th 2017
https://jp.pokellector.com/The-Transdimensional-Beast-Expansion/,Japanese Sets,Sun & Moon Series,The Transdimensional Beast,"The second half of SM4, featuring Guzzlord. SM4 marks the first set to feature Ultra Beasts",50,12,Sep 15th 2017
https://jp.pokellector.com/The-Awoken-Hero-Expansion/,Japanese Sets,Sun & Moon Series,The Awoken Hero,"Half of SM4, featuring Silvally. SM4 marks the first set to feature Ultra Beasts",50,12,Sep 15th 2017
https://jp.pokellector.com/Strengthening-Expansion-Shining-Legends-Expansion/,Japanese Sets,Sun & Moon Series,Strengthening Expansion: Shining Legends,A set featuring shiny legendary pokemon!,72,11,Jul 15th 2017
https://jp.pokellector.com/Light-Consuming-Darkness-Expansion/,Japanese Sets,Sun & Moon Series,Light-Consuming Darkness,This half of SM3 is governed by Necrozma,51,13,Jun 16th 2017
https://jp.pokellector.com/Seen-the-Rainbow-Battle-Expansion/,Japanese Sets,Sun & Moon Series,Seen the Rainbow Battle,This half of SM3 is headed by Ho-Oh,51,13,Jun 16th 2017
https://jp.pokellector.com/Strengthening-Expansion-Pack-Beyond-A-New-Challeng-Expansion/,Japanese Sets,Sun & Moon Series,Strengthening Expansion Pack: Beyond A New Challenge,N/A,49,17,Apr 21st 2017
https://jp.pokellector.com/Alola-Moonlight-Expansion/,Japanese Sets,Sun & Moon Series,Alola Moonlight,"The ""Moon"" half of the second sun and moon set.",50,12,Mar 17th 2017
https://jp.pokellector.com/Islands-Awaiting-You-Expansion/,Japanese Sets,Sun & Moon Series,Islands Awaiting You,"The ""Sun"" half of the second Sun & Moon set",50,12,Mar 17th 2017
https://jp.pokellector.com/Sun-Moon-Strengthening-Expansion-Expansion/,Japanese Sets,Sun & Moon Series,Sun & Moon Strengthening Expansion,"This ""mini"" set was a follow up to Sun & Moon. All cards aside from HR and RR were basically common as they had no rarity listed.",51,18,Jan 27th 2017
https://jp.pokellector.com/Collection-Sun-Expansion/,Japanese Sets,Sun & Moon Series,Collection Sun,The Sun half of Japan's first full set featuring Pokemon from Sun & Moon,60,13,Dec 9th 2016
https://jp.pokellector.com/Collection-Moon-Expansion/,Japanese Sets,Sun & Moon Series,Collection Moon,The Moon half of Japan's first full set featuring Pokemon from Sun & Moon,60,13,Dec 9th 2016
https://jp.pokellector.com/Japanese-Sun-Moon-Promos-Expansion/,Japanese Sets,Sun & Moon Series,Sun & Moon Promos,Promotional cards released during the Sun & Moon era. Each card has a description relating how and when it was released.,408,N/A,Nov 18th 2016
https://jp.pokellector.com/Champion-Road-Expansion/,Japanese Sets,Sun & Moon Series,Champion Road,N/A,66,20,May 3rd 2018
https://jp.pokellector.com/Dragon-Storm-Expansion/,Japanese Sets,Sun & Moon Series,Dragon Storm,SM6 subset focused on Dragon type Pokemon,53,13,Apr 6th 2018
https://jp.pokellector.com/Ash-vs-Team-Rocket-Battle-Set-Expansion/,Japanese Sets,Sun & Moon Series,Ash vs Team Rocket Battle Set,"Like Trainer Kits in America, these Battle Sets contain 2 30 card decks to get you started.",26,N/A,Apr 21st 2017
https://jp.pokellector.com/Pikachu-New-Friends-Expansion/,Japanese Sets,Sun & Moon Series,Pikachu & New Friends,A small mini-set introducing our new Sun & Moon starters,4,N/A,Nov 18th 2016
https://jp.pokellector.com/Tapu-Bulu-GX-Enhanced-Starter-Set-Expansion/,Japanese Sets,Sun & Moon Series,Tapu Bulu GX Enhanced Starter Set,A small theme deck to accompany the release of SM2. Also included in the set are 9 each of unnumbered Grass and Electric energy,21,N/A,Mar 17th 2017
https://jp.pokellector.com/Rockruff-Full-Power-Deck-Expansion/,Japanese Sets,Sun & Moon Series,Rockruff Full Power Deck,This 60-card deck was included with the January edition of CoroCoro Ichiban!,13,N/A,Dec 15th 2016
https://jp.pokellector.com/Starter-Set-Decks-Expansion/,Japanese Sets,Sun & Moon Series,Starter Set Decks,"This ""set"" is actually distributed over 3 theme decks focused on the Sun & Moon starters",59,N/A,Dec 9th 2016
https://jp.pokellector.com/Premium-Trainer-Box-Expansion/,Japanese Sets,Sun & Moon Series,Premium Trainer Box,"Japan's PRemium Trainer Box is similar to our own Elite Trainer Boxes, though they come with more. This box came with 10 packs each of Collection Sun & Collection Moon, 108 basic energy, deck box, pokemon coin, GX marker, acrylic status markers, acrylic d",18,N/A,Dec 9th 2016
https://jp.pokellector.com/The-Best-of-XY-Expansion/,Japanese Sets,Pokemon XY Series,The Best of XY,A set consisting of 171 cards the game makers want to save from rotation,171,17,Apr 21st 2017
https://jp.pokellector.com/20th-Anniversary-Collection-Expansion/,Japanese Sets,Pokemon XY Series,20th Anniversary Collection,A set to commemorate the original TCG release back in 1996. The artwork and format of the cards is identical to the original cards!,87,16,Sep 16th 2016
https://jp.pokellector.com/Mythical-Legendary-Dream-Holo-Collection-Expansion/,Japanese Sets,Pokemon XY Series,Mythical / Legendary Dream Holo Collection,A mini set comprised mostly of the cards America received in the monthly Mythical and Legendary collections,36,2,Jul 16th 2016
https://jp.pokellector.com/Explosive-Warrior-Expansion/,Japanese Sets,Pokemon XY Series,Explosive Warrior,"One half of the XY11 set, Explosive Warrior features Volcanion as pack mascot and re-introduces dual-type Pokemon to the TCG.",54,5,Jun 17th 2016
https://jp.pokellector.com/Ruthless-Rebel-Expansion/,Japanese Sets,Pokemon XY Series,Ruthless Rebel,"One half of the XY11 set, Ruthless Rebel features Gardevoir as pack mascot and re-introduces dual-type Pokemon to the TCG.",54,5,Jun 17th 2016
https://jp.pokellector.com/Premium-Champion-Pack-EX-x-M-x-BREAK-Expansion/,Japanese Sets,Pokemon XY Series,Premium Champion Pack: EX x M x BREAK,A bonus set consisting of popular cards from the XY block to date. There are no rarities and 9 basic energy are included.,131,N/A,Apr 16th 2016
https://jp.pokellector.com/Mega-Audino-EX-Mega-Battle-Deck-Expansion/,Japanese Sets,Pokemon XY Series,Mega Audino EX Mega Battle Deck,This deck was released alongside XY10 and is centered around Audino and Colorless pokemon.,26,N/A,Mar 18th 2016
https://jp.pokellector.com/Awakening-of-Psychic-Kings-Expansion/,Japanese Sets,Pokemon XY Series,Awakening of Psychic Kings,Alakazam is BACK!,78,10,Mar 18th 2016
https://jp.pokellector.com/Zygarde-EX-Perfect-Battle-Deck-Expansion/,Japanese Sets,Pokemon XY Series,Zygarde EX Perfect Battle Deck,This deck was released alongside XY10 and features Zygarde and Fighting type pokemon,19,N/A,Mar 18th 2016
https://jp.pokellector.com/Pokemon-Card-Game-Starter-Pack-Expansion/,Japanese Sets,Pokemon XY Series,Pokemon Card Game Starter Pack,A special set released to commemorate the original starter pack released 20 years ago.,72,5,Feb 27th 2016
https://jp.pokellector.com/Pokekyun-Collection-Expansion/,Japanese Sets,Pokemon XY Series,Pokekyun Collection,"A mini set of ""cute"" pokemon, all of them holo like Shiny Collection",32,N/A,Jan 29th 2016
https://jp.pokellector.com/Rage-of-the-Broken-Sky-Expansion/,Japanese Sets,Pokemon XY Series,Rage of the Broken Sky,Rage of the Broken Sky is the second full set released under the new XY BREAK block,80,9,Dec 11th 2015
https://jp.pokellector.com/Golduck-BREAK-Palkia-EX-Combo-Deck-Expansion/,Japanese Sets,Pokemon XY Series,Golduck BREAK & Palkia EX Combo Deck,"Golduck BREAK & Palkia EX team up in this 60 card deck, bringing yet another BREAK evolution card into the mix.",16,N/A,Oct 9th 2015
https://jp.pokellector.com/Noivern-BREAK-Evolution-Pack-Expansion/,Japanese Sets,Pokemon XY Series,Noivern BREAK Evolution Pack,A Small 10-card deck/set featuring Noivern BREAK,10,N/A,Sep 26th 2015
https://jp.pokellector.com/Raichu-BREAK-Evolution-Pack-Expansion/,Japanese Sets,Pokemon XY Series,Raichu BREAK Evolution Pack,A small 10-card mini set/deck featuring Raichu BREAK,10,N/A,Sep 26th 2015
https://jp.pokellector.com/Blue-Impact-Expansion/,Japanese Sets,Pokemon XY Series,Blue Impact,The blue half of the XY BREAK block opener.,59,5,Sep 26th 2015
https://jp.pokellector.com/Red-Flash-Expansion/,Japanese Sets,Pokemon XY Series,Red Flash,The red half of the XY BREAK block opener,59,5,Sep 26th 2015
https://jp.pokellector.com/Legendary-Holo-Collection-Expansion/,Japanese Sets,Pokemon XY Series,Legendary Holo Collection,"Talk about special, it's a a shiny collection of various legendary pokemon from ages past! 15 packs per box, and each pack had a holo or Pikachu EX",27,N/A,Jul 18th 2015
https://jp.pokellector.com/Bandit-Ring-Expansion/,Japanese Sets,Pokemon XY Series,Bandit Ring,"Hoopa makes its TCG debut in this set geared toward it. The set released just before the premiere of ""The Archdjinn of Rings""",81,14,Jun 20th 2015
https://jp.pokellector.com/Mega-Rayquaza-EX-Battle-Deck-Expansion/,Japanese Sets,Pokemon XY Series,Mega Rayquaza EX Battle Deck,"Theme deck, featuring Rayquaza, that ties into the Emerald Break set as well as the tournaments held in Japan.",18,N/A,Mar 14th 2015
https://jp.pokellector.com/Emerald-Break-Expansion/,Japanese Sets,Pokemon XY Series,Emerald Break,Rayquaza rides again in this 6th XY set!,78,11,Mar 14th 2015
https://jp.pokellector.com/Magma-Gang-vs-Aqua-Gang-Double-Crisis-Expansion/,Japanese Sets,Pokemon XY Series,Magma Gang vs Aqua Gang: Double Crisis,Magma and Aqua are back in the new Double Crisis mini set!,34,N/A,Jan 30th 2015
https://jp.pokellector.com/Gaia-Volcano-Expansion/,Japanese Sets,Pokemon XY Series,Gaia Volcano,"Featuring Groudon EX, this half of XY5 focuses on Fire, Fighting and Steel Pokemon and introduces ""Ancient Traits"".",70,8,Dec 13th 2014
https://jp.pokellector.com/Tidal-Storm-Expansion/,Japanese Sets,Pokemon XY Series,Tidal Storm,"Featuring Kyogre EX, this half of XY5 focuses on Water, Dark and Fairy Pokemon and introduces ""Ancient Traits"".",70,8,Dec 13th 2014
https://jp.pokellector.com/Hyper-Metal-Chain-Deck-Expansion/,Japanese Sets,Pokemon XY Series,Hyper Metal Chain Deck,This theme deck accompanied the release of Phantom Gate and brought metal to the forefront with Dialga EX and Aegislash EX,18,1,Sep 14th 2014
https://jp.pokellector.com/Phantom-Gate-Expansion/,Japanese Sets,Pokemon XY Series,Phantom Gate,"Phantom Gate features 4 new EXes including Gengar EX and Manetric EX. M Gengar EX is present and with Gengar Spirit Link, you can evolve without ending your turn!",88,9,Sep 13th 2014
https://jp.pokellector.com/Rising-Fist-Expansion/,Japanese Sets,Pokemon XY Series,Rising Fist,"The third XY set, featuring Mega Lucario and the debut of Strong and Herb special energies",96,9,Jun 14th 2014
https://jp.pokellector.com/M-Charizard-EX-Mega-Battle-Deck-Expansion/,Japanese Sets,Pokemon XY Series,M Charizard EX Mega Battle Deck,Deck to accompany the release of the Charizard-centric Wild Blaze expansion,21,N/A,Mar 15th 2014
https://jp.pokellector.com/Wild-Blaze-Expansion/,Japanese Sets,Pokemon XY Series,Wild Blaze,The second XY Set prominently featuring M Charizard EX,80,10,Mar 15th 2014
https://jp.pokellector.com/Xerneas-Half-Deck-Expansion/,Japanese Sets,Pokemon XY Series,Xerneas Half Deck,One of the first 2 half decks for the XY series featuring the X mascot Xerneas. Cards from this deck would make their way to the first US XY release,15,N/A,Jan 15th 2014
https://jp.pokellector.com/Yveltal-Half-Deck-Expansion/,Japanese Sets,Pokemon XY Series,Yveltal Half Deck,One of the first XY Half Decks featuring the Y mascot: Yveltal. Cards from this deck would make their way to the first US XY release,15,N/A,Jan 15th 2014
https://jp.pokellector.com/Collection-Y-Expansion/,Japanese Sets,Pokemon XY Series,Collection Y,The first of the XY Series of cards. This set represents the Y (red) game.,60,3,Dec 13th 2013
https://jp.pokellector.com/Collection-X-Expansion/,Japanese Sets,Pokemon XY Series,Collection X,The first set from the new XY series. This collection represents the X (Blue) game.,60,3,Dec 13th 2013
https://jp.pokellector.com/XY-Beginning-Set-Expansion/,Japanese Sets,Pokemon XY Series,XY Beginning Set,"These sets came in boy and girl flavors (different cases) as well as DX versions of each (included sleeves, deckbox and stickers). The Pokemon Company issued an apology over the fact that there are seemingly-random numbers next to the chespin silhouettes",39,N/A,Nov 8th 2013
https://jp.pokellector.com/Japanese-XY-Promos-Expansion/,Japanese Sets,Pokemon XY Series,XY Promos,"As always, Pokemon has huge support in Japan, and as such they're treated to numerous amounts of promo cards given out at various events.",298,N/A,Aug 13th 2013
https://jp.pokellector.com/Mewtwo-Vs-Genesect-Genesect-Expansion/,Japanese Sets,Black & White Promos Series,Mewtwo Vs Genesect: Genesect,This is Genesects's half of the Mewtwo vs Genesect half decks released to coincide with the Mewtwo's Awakening movie. The cards in Genesect's deck feature a green Genesect silhouette on the bottom right.,16,N/A,Jul 13th 2013
